antecedents,consequents,support,confidence,lift
"cereals, eggs",coffee/tea,0.0702,0.402,1.0599
pork,sandwich loaves,0.1317,0.3704,1.0599
"soda, pasta",cereals,0.0711,0.4197,1.0599
"lunch meat, sandwich loaves",eggs,0.0606,0.4132,1.0599
"hand soap, flour",beef,0.0527,0.3974,1.0599
"ice cream, dishwashing liquid/detergent",ketchup,0.065,0.3936,1.0599
"paper towels, lunch meat",ketchup,0.065,0.3936,1.0599
"yogurt, soda",fruits,0.0658,0.3927,1.0598
hand soap,toilet paper,0.1387,0.401,1.0598
toilet paper,hand soap,0.1387,0.3666,1.0598
beef,dinner rolls,0.1545,0.4122,1.0598
dinner rolls,beef,0.1545,0.3973,1.0598
"sugar, juice",fruits,0.0562,0.3926,1.0598
"hand soap, lunch meat",fruits,0.0562,0.3926,1.0598
"dishwashing liquid/detergent, ketchup",butter,0.0606,0.3898,1.0597
"coffee/tea, pasta",butter,0.0606,0.3898,1.0597
"tortillas, hand soap",cheeses,0.0571,0.414,1.0597
"soap, poultry",coffee/tea,0.0737,0.4019,1.0597
"ketchup, hand soap",waffles,0.0579,0.4177,1.0597
"fruits, tortillas",ice cream,0.0597,0.4224,1.0596
"poultry, sandwich loaves",soda,0.0676,0.414,1.0596
"dishwashing liquid/detergent, juice",cereals,0.0641,0.4195,1.0595
"yogurt, poultry",ice cream,0.0764,0.4223,1.0595
"eggs, shampoo",lunch meat,0.0632,0.4186,1.0595
"shampoo, ketchup",spaghetti sauce,0.0597,0.3953,1.0595
"eggs, pork",spaghetti sauce,0.0597,0.3953,1.0595
"soap, beef",dinner rolls,0.0658,0.4121,1.0595
"toilet paper, cheeses",hand soap,0.0615,0.3665,1.0595
"bagels, eggs",hand soap,0.0615,0.3665,1.0595
"fruits, poultry",hand soap,0.0615,0.3665,1.0595
"ketchup, individual meals",aluminum foil,0.0579,0.4074,1.0594
"milk, laundry detergent",aluminum foil,0.0676,0.4074,1.0594
"cheeses, individual meals",pasta,0.0632,0.3934,1.0594
toilet paper,ice cream,0.1598,0.4223,1.0594
ice cream,toilet paper,0.1598,0.4009,1.0594
"yogurt, individual meals",dishwashing liquid/detergent,0.065,0.4111,1.0594
soap,dinner rolls,0.1563,0.412,1.0594
dinner rolls,soap,0.1563,0.4018,1.0594
"soap, bagels",tortillas,0.0571,0.3916,1.0594
"eggs, mixes",sandwich loaves,0.0588,0.3702,1.0593
"yogurt, laundry detergent",sandwich loaves,0.0588,0.3702,1.0593
"cheeses, soda",shampoo,0.0658,0.3906,1.0593
"soda, laundry detergent",fruits,0.0641,0.3925,1.0593
"toilet paper, eggs",fruits,0.0641,0.3925,1.0593
"toilet paper, milk",fruits,0.0641,0.3925,1.0593
"spaghetti sauce, mixes",ice cream,0.0667,0.4222,1.0593
"sandwich bags, cereals",ice cream,0.0667,0.4222,1.0593
"cheeses, eggs",juice,0.0676,0.399,1.0593
"bagels, flour",eggs,0.0562,0.4129,1.0592
"butter, coffee/tea",dishwashing liquid/detergent,0.0588,0.411,1.0592
"ice cream, hand soap",dishwashing liquid/detergent,0.0588,0.411,1.0592
"fruits, dishwashing liquid/detergent",sugar,0.0641,0.3822,1.0592
"sandwich bags, shampoo",spaghetti sauce,0.0579,0.3952,1.0592
"sandwich bags, coffee/tea",soda,0.0632,0.4138,1.0591
"tortillas, individual meals",cheeses,0.0632,0.4138,1.0591
"sugar, pork",pasta,0.0518,0.3933,1.0591
"soap, hand soap",butter,0.0527,0.3896,1.0591
"cheeses, individual meals",juice,0.0641,0.3989,1.0591
"dishwashing liquid/detergent, all- purpose",juice,0.0641,0.3989,1.0591
"sandwich bags, tortillas",juice,0.0641,0.3989,1.0591
"sandwich bags, sandwich loaves",sugar,0.0527,0.3822,1.0591
"soda, pork",shampoo,0.0579,0.3905,1.0591
"waffles, coffee/tea",mixes,0.0685,0.398,1.0591
"aluminum foil, mixes",individual meals,0.0685,0.398,1.0591
yogurt,dishwashing liquid/detergent,0.158,0.411,1.059
dishwashing liquid/detergent,yogurt,0.158,0.4072,1.059
"laundry detergent, sandwich loaves",bagels,0.0527,0.4082,1.059
"sugar, coffee/tea",pork,0.0536,0.3765,1.059
"mixes, all- purpose",juice,0.0606,0.3988,1.0589
"sugar, dishwashing liquid/detergent",juice,0.0606,0.3988,1.0589
dishwashing liquid/detergent,tortillas,0.1519,0.3914,1.0589
tortillas,dishwashing liquid/detergent,0.1519,0.4109,1.0589
"fruits, poultry",individual meals,0.0667,0.3979,1.0589
"ice cream, pasta",individual meals,0.0667,0.3979,1.0589
"fruits, dishwashing liquid/detergent",individual meals,0.0667,0.3979,1.0589
"toilet paper, cheeses",mixes,0.0667,0.3979,1.0589
"sugar, pasta",sandwich bags,0.0588,0.3895,1.0589
"cereals, all- purpose",sandwich bags,0.0588,0.3895,1.0589
"fruits, waffles",individual meals,0.065,0.3978,1.0588
"fruits, waffles",mixes,0.065,0.3978,1.0588
"ice cream, eggs",butter,0.065,0.3895,1.0587
"milk, all- purpose",sandwich loaves,0.0562,0.3699,1.0587
"fruits, eggs",sandwich loaves,0.0562,0.3699,1.0587
"dishwashing liquid/detergent, tortillas",sandwich loaves,0.0562,0.3699,1.0587
"cheeses, milk",sugar,0.0597,0.382,1.0587
"spaghetti sauce, aluminum foil",sugar,0.0597,0.382,1.0587
"sandwich bags, beef",sugar,0.0597,0.382,1.0587
"sandwich bags, ketchup",dinner rolls,0.0676,0.4118,1.0587
"mixes, individual meals",dinner rolls,0.0615,0.4118,1.0587
milk,pork,0.1431,0.3764,1.0587
pork,milk,0.1431,0.4025,1.0587
"yogurt, all- purpose",soda,0.0694,0.4136,1.0587
"ice cream, beef",tortillas,0.0632,0.3913,1.0587
"beef, laundry detergent",tortillas,0.0553,0.3913,1.0587
"waffles, spaghetti sauce",shampoo,0.0641,0.3904,1.0587
"sandwich bags, hand soap",juice,0.0553,0.3987,1.0586
"waffles, butter",ice cream,0.0641,0.422,1.0586
"dishwashing liquid/detergent, poultry",hand soap,0.0685,0.3662,1.0586
"sugar, flour",milk,0.0579,0.4024,1.0586
"pasta, all- purpose",flour,0.0597,0.3736,1.0586
"eggs, mixes",individual meals,0.0632,0.3978,1.0586
"soap, coffee/tea",mixes,0.0632,0.3978,1.0586
"yogurt, pasta",mixes,0.0632,0.3978,1.0586
"ice cream, laundry detergent",individual meals,0.0632,0.3978,1.0586
"milk, laundry detergent",beef,0.0658,0.3968,1.0585
"butter, soda",mixes,0.0615,0.3977,1.0584
"toilet paper, laundry detergent",flour,0.0571,0.3736,1.0584
"yogurt, bagels",paper towels,0.0623,0.3838,1.0584
"cheeses, fruits",pork,0.0615,0.3763,1.0584
"poultry, sandwich loaves",pork,0.0615,0.3763,1.0584
"cheeses, laundry detergent",hand soap,0.0588,0.3661,1.0584
"yogurt, coffee/tea",hand soap,0.0588,0.3661,1.0584
"cereals, waffles",hand soap,0.0588,0.3661,1.0584
"waffles, pork",pasta,0.0597,0.3931,1.0584
soap,tortillas,0.1484,0.3912,1.0584
tortillas,soap,0.1484,0.4014,1.0584
"butter, aluminum foil",dishwashing liquid/detergent,0.0606,0.4107,1.0584
"ice cream, tortillas",dishwashing liquid/detergent,0.0606,0.4107,1.0584
laundry detergent,fruits,0.1484,0.3921,1.0583
fruits,laundry detergent,0.1484,0.4005,1.0583
"eggs, pork",aluminum foil,0.0615,0.407,1.0583
"soap, shampoo",yogurt,0.0615,0.407,1.0583
"sugar, eggs",aluminum foil,0.0615,0.407,1.0583
"poultry, juice",pasta,0.0694,0.393,1.0583
"cereals, fruits",all- purpose,0.0641,0.3967,1.0583
"milk, bagels",all- purpose,0.0641,0.3967,1.0583
"tortillas, juice",waffles,0.0597,0.4172,1.0583
"mixes, flour",individual meals,0.0597,0.3977,1.0583
"soda, shampoo",individual meals,0.0597,0.3977,1.0583
"bagels, all- purpose",individual meals,0.0597,0.3977,1.0583
"dishwashing liquid/detergent, eggs",spaghetti sauce,0.0676,0.3949,1.0583
"tortillas, pasta",milk,0.0615,0.4023,1.0582
juice,sandwich bags,0.1466,0.3893,1.0582
sandwich bags,juice,0.1466,0.3986,1.0582
"toilet paper, all- purpose",waffles,0.0641,0.4171,1.0582
"ice cream, butter",waffles,0.0641,0.4171,1.0582
"poultry, flour",cereals,0.0658,0.419,1.0582
"paper towels, individual meals",fruits,0.0606,0.392,1.0582
"toilet paper, sandwich bags",sugar,0.0553,0.3818,1.0581
"sugar, ice cream",bagels,0.0641,0.4078,1.0581
"laundry detergent, flour",individual meals,0.0579,0.3976,1.0581
"spaghetti sauce, dishwashing liquid/detergent",butter,0.0571,0.3892,1.0581
"coffee/tea, all- purpose",butter,0.0571,0.3892,1.0581
"ice cream, all- purpose",beef,0.0623,0.3966,1.058
"poultry, flour",beef,0.0623,0.3966,1.058
"milk, dishwashing liquid/detergent",hand soap,0.0623,0.366,1.058
"sugar, mixes",soap,0.0553,0.4013,1.058
"fruits, hand soap",poultry,0.0615,0.4459,1.058
"tortillas, hand soap",coffee/tea,0.0553,0.4013,1.058
"cereals, poultry",bagels,0.0737,0.4078,1.058
hand soap,juice,0.1378,0.3985,1.058
juice,hand soap,0.1378,0.366,1.058
"butter, hand soap",soda,0.0544,0.4133,1.0579
"dishwashing liquid/detergent, sandwich loaves",soda,0.0544,0.4133,1.0579
"butter, shampoo",ice cream,0.0615,0.4217,1.0579
pork,individual meals,0.1414,0.3975,1.0579
individual meals,pork,0.1414,0.3762,1.0579
"poultry, beef",eggs,0.0702,0.4124,1.0579
"tortillas, pork",pasta,0.0579,0.3929,1.0578
"tortillas, individual meals",beef,0.0606,0.3966,1.0578
"cereals, yogurt",soda,0.0711,0.4133,1.0578
"sugar, butter",bagels,0.0562,0.4076,1.0576
"ice cream, butter",poultry,0.0685,0.4457,1.0576
"cheeses, poultry",paper towels,0.0694,0.3835,1.0576
"beef, ketchup",coffee/tea,0.0623,0.4011,1.0576
"bagels, dinner rolls",coffee/tea,0.0623,0.4011,1.0576
"mixes, pork",soap,0.0623,0.4011,1.0576
"coffee/tea, all- purpose",soda,0.0606,0.4132,1.0575
"pasta, all- purpose",coffee/tea,0.0641,0.4011,1.0575
aluminum foil,lunch meat,0.1607,0.4178,1.0575
lunch meat,aluminum foil,0.1607,0.4067,1.0575
"spaghetti sauce, tortillas",all- purpose,0.0588,0.3964,1.0575
"bagels, aluminum foil",soap,0.0676,0.401,1.0574
"waffles, aluminum foil",poultry,0.0755,0.4456,1.0574
"poultry, individual meals",fruits,0.0667,0.3918,1.0574
"fruits, bagels",pasta,0.0658,0.3927,1.0573
"eggs, all- purpose",aluminum foil,0.065,0.4066,1.0573
"soap, pasta",yogurt,0.065,0.4066,1.0573
"soap, dishwashing liquid/detergent",aluminum foil,0.065,0.4066,1.0573
"pasta, dinner rolls",soap,0.0694,0.401,1.0573
"milk, soda",coffee/tea,0.0694,0.401,1.0573
"yogurt, pork",sugar,0.0579,0.3815,1.0573
"hand soap, mixes",sugar,0.0579,0.3815,1.0573
"tortillas, juice",pasta,0.0562,0.3926,1.0572
"all- purpose, juice",hand soap,0.0562,0.3657,1.0572
"sugar, flour",all- purpose,0.0571,0.3963,1.0572
"sugar, lunch meat",cheeses,0.0667,0.413,1.0572
"poultry, tortillas",dishwashing liquid/detergent,0.0702,0.4103,1.0572
"tortillas, dinner rolls",paper towels,0.0606,0.3833,1.0572
"waffles, ice cream",dinner rolls,0.0711,0.4112,1.0572
"beef, lunch meat",butter,0.0615,0.3889,1.0571
"bagels, shampoo",butter,0.0615,0.3889,1.0571
"ketchup, dinner rolls",butter,0.0615,0.3889,1.0571
"yogurt, individual meals",sandwich bags,0.0615,0.3889,1.0571
"eggs, dinner rolls",sandwich bags,0.0676,0.3889,1.0571
"cereals, milk",butter,0.0676,0.3889,1.0571
"milk, ketchup",ice cream,0.0658,0.4213,1.0571
"bagels, tortillas",laundry detergent,0.065,0.4,1.0571
"cereals, sandwich loaves",laundry detergent,0.0597,0.4,1.0571
"waffles, dishwashing liquid/detergent",laundry detergent,0.0702,0.4,1.0571
"waffles, tortillas",laundry detergent,0.0597,0.4,1.0571
"soda, ketchup",laundry detergent,0.0632,0.4,1.0571
"eggs, individual meals",laundry detergent,0.0615,0.4,1.0571
"butter, pork",toilet paper,0.0544,0.4,1.0571
"all- purpose, sandwich loaves",bagels,0.0579,0.4074,1.057
mixes,individual meals,0.1493,0.3972,1.057
individual meals,mixes,0.1493,0.3972,1.057
"toilet paper, waffles",ice cream,0.0729,0.4213,1.057
dinner rolls,lunch meat,0.1624,0.4176,1.057
lunch meat,dinner rolls,0.1624,0.4111,1.057
"waffles, aluminum foil",flour,0.0632,0.3731,1.057
milk,dinner rolls,0.1563,0.4111,1.0569
dinner rolls,milk,0.1563,0.4018,1.0569
"poultry, juice",cheeses,0.0729,0.4129,1.0569
"sandwich bags, laundry detergent",hand soap,0.0597,0.3656,1.0569
"soap, ketchup",yogurt,0.0667,0.4064,1.0569
"sandwich bags, ketchup",yogurt,0.0667,0.4064,1.0569
"sugar, hand soap",pork,0.0518,0.3758,1.0569
"fruits, flour",pork,0.0518,0.3758,1.0569
"sugar, butter",pork,0.0518,0.3758,1.0569
"waffles, ketchup",cereals,0.0676,0.4185,1.0569
"hand soap, all- purpose",soda,0.0562,0.4129,1.0568
"toilet paper, tortillas",dishwashing liquid/detergent,0.0641,0.4101,1.0568
"yogurt, ice cream",dishwashing liquid/detergent,0.0641,0.4101,1.0568
"cereals, juice",dishwashing liquid/detergent,0.0641,0.4101,1.0568
"sandwich bags, laundry detergent",pasta,0.0641,0.3925,1.0568
"fruits, lunch meat",pasta,0.0641,0.3925,1.0568
"bagels, juice",flour,0.0606,0.373,1.0568
"soda, eggs",shampoo,0.0729,0.3897,1.0568
"cereals, dinner rolls",sandwich loaves,0.0632,0.3692,1.0567
"waffles, butter",pork,0.0571,0.3757,1.0567
"cheeses, ice cream",individual meals,0.0711,0.3971,1.0567
"butter, beef",dinner rolls,0.0527,0.411,1.0566
"soda, hand soap",ketchup,0.0544,0.3924,1.0566
poultry,flour,0.1572,0.3729,1.0566
flour,poultry,0.1572,0.4453,1.0566
"eggs, lunch meat",pork,0.0597,0.3757,1.0566
"coffee/tea, dinner rolls",pork,0.0597,0.3757,1.0566
"paper towels, poultry",pork,0.0597,0.3757,1.0566
"cereals, tortillas",pork,0.0597,0.3757,1.0566
"soap, waffles",hand soap,0.0632,0.3655,1.0566
"ice cream, pork",sugar,0.0536,0.3812,1.0566
"milk, laundry detergent",pork,0.0623,0.3757,1.0565
"poultry, butter",pork,0.0623,0.3757,1.0565
"cereals, eggs",individual meals,0.0694,0.397,1.0565
"sandwich bags, waffles",sugar,0.0606,0.3812,1.0565
"soap, poultry",pasta,0.072,0.3923,1.0565
"cheeses, dinner rolls",juice,0.0667,0.3979,1.0564
"sugar, milk",aluminum foil,0.0571,0.4062,1.0564
hand soap,pork,0.1299,0.3756,1.0564
pork,hand soap,0.1299,0.3654,1.0564
"beef, laundry detergent",dishwashing liquid/detergent,0.0579,0.4099,1.0564
"eggs, pasta",sandwich bags,0.0658,0.3886,1.0564
"cereals, butter",ice cream,0.0632,0.4211,1.0563
"spaghetti sauce, butter",ice cream,0.0632,0.4211,1.0563
"soda, individual meals",cheeses,0.0685,0.4127,1.0563
"fruits, beef",soda,0.0685,0.4127,1.0563
"bagels, mixes",eggs,0.0676,0.4118,1.0563
"sandwich bags, laundry detergent",juice,0.065,0.3978,1.0563
"soda, eggs",pork,0.0702,0.3756,1.0563
"shampoo, juice",mixes,0.0676,0.3969,1.0563
"sugar, yogurt",ketchup,0.0623,0.3923,1.0562
"bagels, juice",dinner rolls,0.0667,0.4108,1.0562
"cereals, bagels",dinner rolls,0.0667,0.4108,1.0562
"shampoo, hand soap",sandwich bags,0.0536,0.3885,1.0562
"paper towels, pasta",tortillas,0.0641,0.3904,1.0561
"cereals, individual meals",poultry,0.0711,0.4451,1.0561
"paper towels, eggs",individual meals,0.0658,0.3968,1.056
"fruits, beef",mixes,0.0658,0.3968,1.056
"toilet paper, cereals",individual meals,0.0658,0.3968,1.056
"bagels, eggs",poultry,0.0746,0.445,1.056
"butter, individual meals",dinner rolls,0.0606,0.4107,1.056
"paper towels, pasta",sandwich loaves,0.0606,0.369,1.056
"sandwich bags, shampoo",hand soap,0.0536,0.3653,1.0559
"coffee/tea, all- purpose",hand soap,0.0536,0.3653,1.0559
"fruits, butter",flour,0.0527,0.3727,1.0559
soap,fruits,0.1484,0.3912,1.0559
fruits,soap,0.1484,0.4005,1.0559
"cereals, beef",all- purpose,0.0667,0.3958,1.0559
"beef, ketchup",cereals,0.065,0.4181,1.0559
"individual meals, juice",cereals,0.065,0.4181,1.0559
"dishwashing liquid/detergent, ketchup",cereals,0.065,0.4181,1.0559
"sugar, lunch meat",mixes,0.0641,0.3967,1.0558
"ice cream, flour",spaghetti sauce,0.0571,0.3939,1.0558
"paper towels, pasta",lunch meat,0.0685,0.4171,1.0558
"soap, ketchup",lunch meat,0.0685,0.4171,1.0558
"dishwashing liquid/detergent, tortillas",waffles,0.0632,0.4162,1.0558
"toilet paper, cereals",sugar,0.0632,0.381,1.0557
ice cream,ketchup,0.1563,0.3921,1.0557
ketchup,ice cream,0.1563,0.4208,1.0557
"flour, sandwich loaves",waffles,0.0588,0.4161,1.0557
"waffles, individual meals",hand soap,0.0571,0.3652,1.0557
"soap, juice",hand soap,0.0571,0.3652,1.0557
"soda, tortillas",cheeses,0.0641,0.4124,1.0556
"individual meals, juice",cheeses,0.0641,0.4124,1.0556
"milk, lunch meat",ice cream,0.0676,0.4208,1.0556
"tortillas, aluminum foil",dishwashing liquid/detergent,0.0597,0.4096,1.0556
"butter, shampoo",dishwashing liquid/detergent,0.0597,0.4096,1.0556
"toilet paper, lunch meat",all- purpose,0.065,0.3957,1.0556
"bagels, mixes",all- purpose,0.065,0.3957,1.0556
"aluminum foil, all- purpose",individual meals,0.0623,0.3966,1.0556
"waffles, beef",individual meals,0.0623,0.3966,1.0556
"poultry, flour",individual meals,0.0623,0.3966,1.0556
"sugar, mixes",milk,0.0553,0.4013,1.0555
"eggs, hand soap",ice cream,0.0606,0.4207,1.0555
"soap, ice cream",dinner rolls,0.0685,0.4105,1.0555
"poultry, beef",soda,0.0702,0.4124,1.0555
paper towels,pork,0.1361,0.3753,1.0555
pork,paper towels,0.1361,0.3827,1.0555
"lunch meat, pork",yogurt,0.0606,0.4059,1.0555
"butter, dishwashing liquid/detergent",aluminum foil,0.0606,0.4059,1.0555
"sandwich bags, soda",shampoo,0.0632,0.3892,1.0554
"cheeses, spaghetti sauce",dishwashing liquid/detergent,0.0676,0.4096,1.0554
"ketchup, individual meals",milk,0.0571,0.4012,1.0554
"individual meals, flour",milk,0.0571,0.4012,1.0554
"sugar, aluminum foil",milk,0.0571,0.4012,1.0554
"cheeses, beef",tortillas,0.0623,0.3901,1.0554
"sugar, sandwich loaves",fruits,0.0536,0.391,1.0554
"poultry, butter",hand soap,0.0606,0.3651,1.0554
"toilet paper, cereals",hand soap,0.0606,0.3651,1.0554
"milk, laundry detergent",hand soap,0.0606,0.3651,1.0554
"individual meals, dinner rolls",sandwich bags,0.0579,0.3882,1.0554
"eggs, flour",sandwich bags,0.0579,0.3882,1.0554
"sandwich bags, hand soap",eggs,0.0571,0.4114,1.0554
"soda, eggs",cereals,0.0781,0.4178,1.0553
"poultry, dinner rolls",ketchup,0.0764,0.3919,1.0552
"sandwich bags, flour",juice,0.0544,0.3974,1.0552
"bagels, coffee/tea",dinner rolls,0.0623,0.4104,1.0552
"eggs, aluminum foil",sandwich loaves,0.0579,0.3687,1.0552
"pasta, pork",butter,0.0518,0.3882,1.0552
"poultry, aluminum foil",tortillas,0.0685,0.39,1.0551
"sandwich bags, sugar",bagels,0.0536,0.4067,1.0551
"ice cream, butter",yogurt,0.0623,0.4057,1.055
"sandwich bags, dishwashing liquid/detergent",aluminum foil,0.0623,0.4057,1.055
"paper towels, bagels",yogurt,0.0623,0.4057,1.055
"sandwich bags, butter",yogurt,0.0623,0.4057,1.055
"cheeses, all- purpose",individual meals,0.0588,0.3964,1.055
individual meals,waffles,0.1563,0.4159,1.055
waffles,individual meals,0.1563,0.3964,1.055
"waffles, mixes",sugar,0.0588,0.3807,1.055
"beef, ketchup",all- purpose,0.0615,0.3955,1.0549
"fruits, spaghetti sauce",all- purpose,0.0615,0.3955,1.0549
"coffee/tea, pasta",beef,0.0615,0.3955,1.0549
"paper towels, dinner rolls",all- purpose,0.0615,0.3955,1.0549
flour,sandwich bags,0.137,0.3881,1.0549
sandwich bags,flour,0.137,0.3723,1.0549
"butter, pork",sugar,0.0518,0.3806,1.0549
"beef, all- purpose",cheeses,0.0597,0.4121,1.0548
"tortillas, individual meals",fruits,0.0597,0.3908,1.0548
"coffee/tea, individual meals",fruits,0.0597,0.3908,1.0548
"toilet paper, aluminum foil",soda,0.0658,0.4121,1.0548
"laundry detergent, mixes",soda,0.0658,0.4121,1.0548
"sugar, flour",individual meals,0.0571,0.3963,1.0547
"paper towels, dinner rolls",tortillas,0.0606,0.3898,1.0547
"ketchup, juice",butter,0.0623,0.388,1.0547
"tortillas, hand soap",ice cream,0.0579,0.4204,1.0547
"tortillas, mixes",soap,0.065,0.4,1.0546
"mixes, dinner rolls",soap,0.065,0.4,1.0546
"yogurt, bagels",soap,0.065,0.4,1.0546
ketchup,poultry,0.1651,0.4444,1.0546
"yogurt, dishwashing liquid/detergent",soap,0.0632,0.4,1.0546
"spaghetti sauce, all- purpose",coffee/tea,0.0597,0.4,1.0546
"dishwashing liquid/detergent, lunch meat",shampoo,0.0676,0.3889,1.0546
"butter, hand soap",soap,0.0527,0.4,1.0546
"aluminum foil, ketchup",poultry,0.0702,0.4444,1.0546
"butter, laundry detergent",lunch meat,0.0658,0.4167,1.0546
"pasta, juice",coffee/tea,0.0597,0.4,1.0546
"spaghetti sauce, individual meals",coffee/tea,0.0632,0.4,1.0546
"sandwich bags, cereals",lunch meat,0.0658,0.4167,1.0546
"spaghetti sauce, individual meals",shampoo,0.0615,0.3889,1.0546
"beef, mixes",coffee/tea,0.0579,0.4,1.0546
"beef, all- purpose",coffee/tea,0.0579,0.4,1.0546
"spaghetti sauce, beef",shampoo,0.0615,0.3889,1.0546
poultry,ketchup,0.1651,0.3917,1.0546
"mixes, juice",lunch meat,0.0615,0.4167,1.0546
"yogurt, lunch meat",pork,0.0606,0.375,1.0546
"toilet paper, poultry",coffee/tea,0.0685,0.4,1.0546
"soda, individual meals",poultry,0.0737,0.4444,1.0546
"fruits, ketchup",pork,0.0553,0.375,1.0546
"fruits, mixes",soap,0.0597,0.4,1.0546
"eggs, individual meals",coffee/tea,0.0615,0.4,1.0546
"butter, flour",soap,0.0544,0.4,1.0546
"yogurt, hand soap",soap,0.0544,0.4,1.0546
"fruits, shampoo",soap,0.0562,0.4,1.0546
"ice cream, butter",coffee/tea,0.0615,0.4,1.0546
"shampoo, mixes",waffles,0.065,0.4157,1.0546
"poultry, pork",bagels,0.0667,0.4064,1.0545
"poultry, individual meals",cereals,0.0711,0.4175,1.0545
"all- purpose, individual meals",mixes,0.0553,0.3962,1.0544
"beef, all- purpose",butter,0.0562,0.3879,1.0544
"sugar, all- purpose",ketchup,0.0571,0.3916,1.0544
"butter, shampoo",pasta,0.0571,0.3916,1.0544
"sandwich bags, pork",sandwich loaves,0.0553,0.3684,1.0544
"cereals, butter",sandwich loaves,0.0553,0.3684,1.0544
"eggs, flour",hand soap,0.0544,0.3647,1.0543
"milk, laundry detergent",pasta,0.065,0.3915,1.0543
"fruits, ice cream",toilet paper,0.0658,0.3989,1.0543
"toilet paper, soda",aluminum foil,0.0658,0.4054,1.0542
"coffee/tea, all- purpose",beef,0.0579,0.3952,1.0542
"paper towels, dishwashing liquid/detergent",hand soap,0.0579,0.3646,1.0541
"yogurt, shampoo",hand soap,0.0579,0.3646,1.0541
fruits,flour,0.1378,0.372,1.0541
flour,fruits,0.1378,0.3905,1.0541
"sandwich bags, beef",toilet paper,0.0623,0.3989,1.0541
"soap, dinner rolls",toilet paper,0.0623,0.3989,1.0541
"sandwich bags, ice cream",toilet paper,0.0623,0.3989,1.0541
"milk, sugar",bagels,0.0571,0.4062,1.054
"ketchup, flour",ice cream,0.0623,0.4201,1.054
"fruits, tortillas",dinner rolls,0.0579,0.4099,1.054
"sugar, laundry detergent",cheeses,0.0615,0.4118,1.0539
"toilet paper, lunch meat",soda,0.0676,0.4118,1.0539
"dishwashing liquid/detergent, soda",aluminum foil,0.0676,0.4053,1.0539
"cheeses, eggs",shampoo,0.0658,0.3886,1.0538
"ice cream, hand soap",laundry detergent,0.0571,0.3988,1.0538
"laundry detergent, hand soap",toilet paper,0.0571,0.3988,1.0538
"milk, pork",toilet paper,0.0571,0.3988,1.0538
"individual meals, flour",all- purpose,0.0562,0.3951,1.0538
"eggs, individual meals",shampoo,0.0597,0.3886,1.0538
"spaghetti sauce, aluminum foil",sandwich bags,0.0606,0.3876,1.0538
"hand soap, sandwich loaves",laundry detergent,0.0553,0.3987,1.0537
"ice cream, eggs",tortillas,0.065,0.3895,1.0537
"soap, waffles",mixes,0.0685,0.3959,1.0537
"milk, soda",mixes,0.0685,0.3959,1.0537
"butter, aluminum foil",eggs,0.0606,0.4107,1.0536
"cereals, eggs",flour,0.065,0.3719,1.0536
laundry detergent,ice cream,0.1589,0.42,1.0536
ice cream,laundry detergent,0.1589,0.3987,1.0536
"laundry detergent, hand soap",cereals,0.0597,0.4172,1.0536
"coffee/tea, aluminum foil",dishwashing liquid/detergent,0.065,0.4088,1.0535
"milk, aluminum foil",waffles,0.0667,0.4153,1.0535
"toilet paper, soda",lunch meat,0.0676,0.4162,1.0535
"pork, dinner rolls",sandwich loaves,0.0527,0.3681,1.0534
"spaghetti sauce, sandwich loaves",sugar,0.0571,0.3801,1.0534
milk,coffee/tea,0.1519,0.3995,1.0534
coffee/tea,milk,0.1519,0.4005,1.0534
"hand soap, mixes",lunch meat,0.0632,0.4162,1.0534
"sugar, dishwashing liquid/detergent",spaghetti sauce,0.0597,0.3931,1.0534
"ice cream, soda",mixes,0.0667,0.3958,1.0534
"sugar, mixes",beef,0.0544,0.3949,1.0534
"shampoo, hand soap",all- purpose,0.0544,0.3949,1.0534
"cereals, hand soap",aluminum foil,0.0562,0.4051,1.0533
"cereals, pasta",juice,0.0641,0.3967,1.0533
"hand soap, flour",eggs,0.0544,0.4106,1.0533
"mixes, flour",waffles,0.0623,0.4152,1.0533
"fruits, poultry",flour,0.0623,0.3717,1.0532
"waffles, soda",bagels,0.072,0.4059,1.0532
"fruits, sugar",dinner rolls,0.0597,0.4096,1.0532
"yogurt, all- purpose",butter,0.065,0.3874,1.0532
"paper towels, waffles",poultry,0.0694,0.4438,1.0531
"coffee/tea, lunch meat",eggs,0.0685,0.4105,1.0531
pasta,beef,0.1466,0.3948,1.0531
beef,pasta,0.1466,0.3911,1.0531
"pork, sandwich loaves",sugar,0.05,0.38,1.0531
"shampoo, pork",ice cream,0.0597,0.4198,1.0531
"sandwich loaves, dinner rolls",bagels,0.0606,0.4059,1.0531
"spaghetti sauce, all- purpose",bagels,0.0606,0.4059,1.0531
"sandwich bags, fruits",soda,0.0632,0.4114,1.0531
"milk, juice",cheeses,0.0632,0.4114,1.0531
"toilet paper, all- purpose",soda,0.0632,0.4114,1.0531
"milk, hand soap",poultry,0.0658,0.4438,1.0531
juice,sugar,0.1431,0.38,1.053
sugar,juice,0.1431,0.3966,1.053
"ketchup, lunch meat",yogurt,0.0579,0.4049,1.0529
"ketchup, lunch meat",aluminum foil,0.0579,0.4049,1.0529
"laundry detergent, all- purpose",tortillas,0.0632,0.3892,1.0529
"waffles, dinner rolls",ice cream,0.0711,0.4197,1.0529
